column,issue,count,pct,severity
variance_pct,Missing values,1427,100.0,HIGH
variance,Missing values,1427,100.0,HIGH
status,Missing values,1427,100.0,HIGH
remaining,Missing values,1427,100.0,HIGH
savings_rate,Missing values,1427,100.0,HIGH
net_flow,Missing values,1427,100.0,HIGH
progress,Missing values,1427,100.0,HIGH
notes,Missing values,1427,100.0,HIGH
running_balance,Missing values,1427,100.0,HIGH
text.column_1,Missing values,1422,99.65,HIGH
text.column_2,Missing values,1422,99.65,HIGH
text.full_text,Missing values,1422,99.65,HIGH
preprocessed,Missing values,1422,99.65,HIGH
raw,Missing values,1422,99.65,HIGH
text.paragraphs,Missing values,1419,99.44,HIGH
text.tables,Missing values,1414,99.09,HIGH
variant,Missing values,1412,98.95,HIGH
best_picture,Missing values,1407,98.6,HIGH
text,Missing values,1406,98.53,HIGH
goal_name,Missing values,1392,97.55,HIGH
target,Missing values,1392,97.55,HIGH
saved,Missing values,1392,97.55,HIGH
eta,Missing values,1392,97.55,HIGH
expenses,Missing values,1385,97.06,HIGH
month,Missing values,1385,97.06,HIGH
income,Missing values,1385,97.06,HIGH
savings,Missing values,1385,97.06,HIGH
budgeted,Missing values,1343,94.11,HIGH
actual,Missing values,1343,94.11,HIGH
budgeted,Zero values (likely missing),1343,94.1,HIGH
actual,Zero values (likely missing),1343,94.1,HIGH
receipt,Missing values,1322,92.64,HIGH
type,Missing values,1322,92.64,HIGH
review_year,Missing values,1322,92.64,HIGH
amount,Missing values,1322,92.64,HIGH
category,Missing values,1238,86.76,HIGH
description,Missing values,1231,86.26,HIGH
year_scraped,Missing values,1152,80.73,HIGH
nominations,Missing values,1152,80.73,HIGH
year,Missing values,1152,80.73,HIGH
awards,Missing values,1152,80.73,HIGH
page_scraped,Missing values,1127,78.98,HIGH
page_number,Missing values,1122,78.63,HIGH
helpful_votes,Missing values,1064,74.56,HIGH
link,Missing values,1027,71.97,HIGH
price,Missing values,1027,71.97,HIGH
variant.Style,Missing values,1007,70.57,HIGH
author,Missing values,995,69.73,HIGH
comment,Missing values,992,69.52,HIGH
author_id,Missing values,992,69.52,HIGH
verified,Missing values,992,69.52,HIGH
review_id,Missing values,987,69.17,HIGH
review_link,Missing values,987,69.17,HIGH
date,Missing values,880,61.67,HIGH
rating,Missing values,592,41.49,HIGH
title,Missing values,317,22.21,MEDIUM
file_name,Missing values,236,16.54,MEDIUM
type,Missing values,236,16.54,MEDIUM
