source,fetched_at,version,file_name,type,page_number,review_id,title,comment,rating,author,author_id,date,verified,helpful_votes,review_link,variant.Style,variant,text,text.paragraphs,text.tables,category,description,budgeted,actual,variance,variance_pct,status,notes,amount,type.1,running_balance,receipt,goal_name,target,saved,remaining,progress,eta,month,income,expenses,savings,net_flow,savings_rate,text.column_1,text.column_2,text.full_text,price,link,page_scraped,year,awards,nominations,best_picture,year_scraped,raw,preprocessed,review_year
reviews_page_1.json,2026-03-22 09:22:25.843,1,,,,R3HIEYXVQFRUBV,"Powerful, Versatile & Worth Every Penny!","I absolutely love this Ninja Kitchen System! It’s very powerful and blends everything smoothly in seconds. I use it for smoothies, sauces, chopping vegetables, and even making dough — and it handles everything perfectly. The 8-cup food processor bowl is a great size for family meals. It’s easy to clean, sturdy, and feels high quality. The blades are super sharp, so be careful when washing. Definitely a great investment for any kitchen. Highly recommend!",5.0,Samira,AGIYMLDXELN6NGPUDUKSQIM5V4ZQ,,True,,https://www.amazon.com/gp/customer-reviews/R3HIEYXVQFRUBV,Pitcher + Bowl + (2) 16-oz. Cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reviews_page_1.json,2026-03-22 09:22:25.884,1,,,,RYDWBH5RPKGBH,Powerful and versatile — love it!,"The Ninja Kitchen System has been an amazing addition to my kitchen. The 72 oz. blender is incredibly powerful and handles smoothies, frozen fruit, and even ice with no problem at all. The 8-cup food processor bowl is also fantastic, it chops and mixes evenly, making meal prep so much faster and easier. I love how versatile it is. Having the blender, food processor, and individual cups all in one system saves space and does everything I need. The only small downside is that when using the individual cups, it’s pretty loud. It’s not a deal breaker for me because it works so well, but just something to be aware of. Overall, it’s a strong, reliable machine that delivers great results.",5.0,Poenix33,AH2I2FNZLBC2YZGU76HSULW6E2FQ,,True,,https://www.amazon.com/gp/customer-reviews/RYDWBH5RPKGBH,Pitcher + Bowl + (2) 16-oz. Cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reviews_page_1.json,2026-03-22 09:22:25.886,1,,,,R2ST6OORNLR2CO,Great blender,"Love this blender, it works great, very durable, simple design, easy to use, and very easy to clean",5.0,Kayla,AEZPXPPMWXC5XQKDUYHJPLHRFL4A,,True,,https://www.amazon.com/gp/customer-reviews/R2ST6OORNLR2CO,Pitcher + (2) 16 oz. Cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reviews_page_1.json,2026-03-22 09:22:25.886,1,,,,R2O2F3NGFN5HGP,Love my Ninja,The best blender/ food processor out there. It does everything it advertises and is super easy to clean. We use ours almost daily. Its very convenient to have a machine with so many uses but takes up minimal space.,5.0,LWilliams,AFRJHLPBOCHNLBGVRESSMLBSPRUA,,True,,https://www.amazon.com/gp/customer-reviews/R2O2F3NGFN5HGP,Pitcher + Bowl + (2) 16-oz. Cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reviews_page_1.json,2026-03-22 09:22:25.888,1,,,,R1US3JR30EI3OL,Does It All – Smoothies to Chopping,"We love this blender and food processor. It’s great for smoothies, chopping veggies, and even baking prep like carrot cake. The motor is powerful, and it does a really good job with chopping and blending without leaving chunks behind. Having the food processor and blender in one system saves counter space and actually gets used regularly in our kitchen. Very happy with this purchase.",5.0,Amazon Customer,AGJOJ5AS7NJ5BEYUXLBYD7K4NAJA,,True,,https://www.amazon.com/gp/customer-reviews/R1US3JR30EI3OL,Pitcher + Bowl + (2) 16-oz. Cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reviews_page_1.json,2026-03-22 09:22:25.889,1,,,,REULXRRQQ7CRE,Blender is better than my Vitamix!,"Maturity is being able to admit that the Ninja blender works way better than the Vitamix. I bought a Vitamix a few years ago, but my roommate at the time had a Ninja also, and I remember the Ninja working really well. So I bought myself a Ninja, and I’m LOVING it! No more “bumping the bubble” (what we called it when I worked at Jamba Juice a million years ago) because the blades that run all the way up the cup seem to really prevent that phenomenon. I also love that the blade is removable so I can clean everything really well. So far I’ve only used the large blender, not the individual cups or the food processor. I will say that I already have a Ninja food processor that I love, and (sadly) the separate processor has/does more than this one. Had I realized that, I probably would have bought just the blender since I’m hesitant to replace the bigger/better processor with this one simply for the sake of saving space. Nevertheless, this entire system was less than my single Vitamix AND it works better for me, so overall I’m extremely happy with this purchase. Removed one star for the lack of attachments/limited usability of the processor.",4.0,LESLIE H.,AFFWRT7DUS5JV6NXHGQQD3FNRNZQ,,True,,https://www.amazon.com/gp/customer-reviews/REULXRRQQ7CRE,Pitcher + Bowl + (2) 16-oz. Cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reviews_page_1.json,2026-03-22 09:22:25.890,1,,,,R36FNMX5YZ44Z8,Great product,Powerful motor for the price! Easy to use and clean.,5.0,Dkss,AEKM24EXRYTVGSX7ZWL4TGCEQVRQ,,True,,https://www.amazon.com/gp/customer-reviews/R36FNMX5YZ44Z8,Pitcher + Bowl + (2) 16-oz. Cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reviews_page_1.json,2026-03-22 09:22:25.890,1,,,,R1TARV7OKJ78VA,100% would recommend,"Such a good blender. Smoothie cups are a go-to in our house. The dough ""blade"" for the food processor is clutch for so many things. Used it multiple times to shred meat - works like a charm. No leaks. Kinda loud, but what blender isn't tbf",5.0,John Q Reviewer,AFN5SGRGQDE6PNQLZTLOE7ZVUCEA,,True,,https://www.amazon.com/gp/customer-reviews/R1TARV7OKJ78VA,Pitcher + Bowl + (2) 18-oz. Cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecommerce_api,2026-03-22 21:13:18.101,1,,,,R34W2534W0ZOJG,Great performance and affordable!,"I’ve been using this blender for a while now, and overall it’s a great blender for the price. I wanted to share an honest review based on my experience using it for 3 years. This blender is powerful. It easily crushes ice and frozen fruit, and it makes very smooth smoothies, frozen drinks, and sauces. I like that it can handle tough ingredients without leaving big chunks behind. It also comes with a large 72oz pitcher, which is great for making multiple servings at once, plus two single cups that are convenient for quick smoothies on the go. Cleanup is simple since most parts are dishwasher safe, and the controls are straightforward and easy to use. For the price, its great compared to more expensive brands. The biggest downside is noise. This blender is loud, especially when crushing ice or blending frozen ingredients. If you’re sensitive to noise or live with others, it’s something to consider. Also replacing the pitcher is quite expensive, almost as expensive as the whole product so have that in mind if you break things often like me.",5.0,Anyella P.,AEIWQPJQEWROMDNC6VBTTGYCZH3Q,,True,,https://www.amazon.com/gp/customer-reviews/R34W2534W0ZOJG,Pitcher + (2) 16 oz. Cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
api source,2026-03-26 16:28:51.987,1,api_reviews.json,api,,R25ZCO4HAK2V5I,Awesomeness,"Amazing, simply amazing. I've always wanted a Ninja, is made preparing and blending so easy. It's design is made tough. The price while I little high for my blood is worth the quality. Blending is quicker and the texture of my protein shakes is much less chalky now.",5.0,Kaila Shakespeare,AGCLS2HL6O5RX3IT2NNBCFZHI6BA,,True,,https://www.amazon.com/gp/customer-reviews/R25ZCO4HAK2V5I,Pitcher + Bowl + (2) 16-oz. Cups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
